latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.110721,80.2459,12.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),rain_sum (mm),weathercode (wmo code)
2021-03-02,30.5,22.2,0.00,0.00,3
2021-03-03,29.4,21.4,0.00,0.00,3
2021-03-04,28.7,20.7,0.00,0.00,3
2021-03-05,29.8,20.7,0.00,0.00,3
2021-03-06,29.7,21.9,0.00,0.00,1
2021-03-07,30.4,22.8,0.00,0.00,3
2021-03-08,29.7,23.2,0.00,0.00,2
2021-03-09,30.4,23.2,0.10,0.10,51
2021-03-10,30.4,24.5,0.50,0.50,51
2021-03-11,30.4,24.4,0.00,0.00,1
2021-03-12,29.6,21.6,0.00,0.00,3
2021-03-13,30.2,21.5,0.00,0.00,2
2021-03-14,31.4,22.0,0.00,0.00,3
2021-03-15,31.6,22.5,0.00,0.00,3
2021-03-16,30.9,23.0,0.00,0.00,3
2021-03-17,30.5,22.4,0.00,0.00,3
2021-03-18,30.6,23.3,0.00,0.00,3
2021-03-19,30.4,23.1,0.00,0.00,3
2021-03-20,30.7,22.0,0.00,0.00,3
2021-03-21,31.2,22.7,0.00,0.00,3
2021-03-22,30.8,22.6,0.00,0.00,3
2021-03-23,30.7,22.5,0.00,0.00,2
2021-03-24,31.3,23.5,0.00,0.00,3
2021-03-25,31.6,23.5,0.00,0.00,3
2021-03-26,32.0,23.8,0.00,0.00,3
2021-03-27,32.4,24.0,0.00,0.00,3
2021-03-28,32.0,23.8,0.00,0.00,3
2021-03-29,32.9,25.5,0.00,0.00,2
2021-03-30,35.5,25.2,0.00,0.00,3
2021-03-31,35.5,24.8,0.00,0.00,2
2021-04-01,36.0,26.5,0.00,0.00,1
2021-04-02,37.7,27.7,0.00,0.00,3
2021-04-03,36.0,26.8,0.00,0.00,3
2021-04-04,33.2,26.7,0.00,0.00,3
2021-04-05,32.7,27.1,0.00,0.00,2
2021-04-06,32.4,25.8,0.10,0.10,51
2021-04-07,32.0,24.8,0.00,0.00,3
2021-04-08,32.3,24.9,0.00,0.00,2
2021-04-09,32.2,24.2,0.00,0.00,3
2021-04-10,31.7,25.2,0.80,0.80,51
2021-04-11,31.5,25.4,0.60,0.60,51
2021-04-12,32.0,26.4,0.20,0.20,51
2021-04-13,31.9,25.9,0.00,0.00,3
2021-04-14,31.7,26.6,2.10,2.10,55
2021-04-15,30.5,25.5,3.70,3.70,53
2021-04-16,32.4,25.0,0.60,0.60,53
2021-04-17,32.6,26.3,0.00,0.00,3
2021-04-18,33.3,26.7,0.00,0.00,3
2021-04-19,33.8,26.8,0.00,0.00,3
2021-04-20,33.5,27.2,0.00,0.00,3
2021-04-21,33.5,27.0,0.00,0.00,3
2021-04-22,32.8,26.9,0.20,0.20,51
2021-04-23,33.4,27.1,0.60,0.60,53
2021-04-24,33.1,27.3,0.10,0.10,51
2021-04-25,33.0,27.1,0.20,0.20,51
2021-04-26,32.6,26.5,0.40,0.40,51
2021-04-27,32.6,26.9,0.20,0.20,51
2021-04-28,33.7,26.8,0.00,0.00,1
2021-04-29,33.7,27.6,0.00,0.00,3
2021-04-30,32.5,27.2,0.30,0.30,51
2021-05-01,32.6,27.0,0.20,0.20,51
2021-05-02,32.5,26.6,0.20,0.20,51
2021-05-03,32.4,26.9,0.50,0.50,51
2021-05-04,32.6,26.6,0.90,0.90,51
2021-05-05,32.8,26.6,0.70,0.70,51
2021-05-06,33.2,27.5,0.10,0.10,51
2021-05-07,32.1,27.9,1.30,1.30,53
2021-05-08,31.9,27.0,0.40,0.40,51
2021-05-09,32.5,27.3,0.70,0.70,51
2021-05-10,33.3,27.7,0.00,0.00,3
2021-05-11,34.9,27.7,0.00,0.00,3
2021-05-12,33.5,28.0,1.20,1.20,51
2021-05-13,33.9,28.4,0.10,0.10,51
2021-05-14,33.2,27.8,0.50,0.50,51
2021-05-15,34.1,29.2,0.00,0.00,3
2021-05-16,34.3,28.7,0.30,0.30,51
2021-05-17,34.0,28.5,0.10,0.10,51
2021-05-18,33.1,28.8,0.00,0.00,2
2021-05-19,34.2,27.4,0.80,0.80,53
2021-05-20,34.2,26.3,30.00,30.00,65
2021-05-21,36.0,26.7,7.70,7.70,61
2021-05-22,33.4,26.3,2.60,2.60,61
2021-05-23,35.7,27.1,0.00,0.00,3
2021-05-24,37.7,28.5,0.00,0.00,3
2021-05-25,38.4,29.3,0.70,0.70,53
